title, author, rating, format, price, year
PILGRIMAGE OF PROMISE (A Miller's Creek Novel Book 4),Cathy Bryant,4.7 out of 5 stars, ,0.00,2013
Choices,Lyn Gardner,4.9 out of 5 stars, ,7.99,2019
LGBTQ Fiction and Poetry from Appalachia,Jeff Mann,5.0 out of 5 stars, ,20.06,2019
Addiction,Margaret McHeyzer,4.7 out of 5 stars, ,4.99,2018
More Than One Truth,,4.7 out of 5 stars, ,2.99,2018
Five Fathoms Beneath,J.R. Alcyone,5.0 out of 5 stars, ,0.00,2018
The Letter: A captivating story of forbidden love, secrets, and sacrifice.,Ruth Saberton,4.7 out of 5 stars, ,0.00,2017
The Readers' Advisory Guide to Genre Fiction, Third Edition (Ala Readers' Advisory),,, ,64.99,2018
Merchants of War (Broken Arrow Mercenary Force Book 1),Rick Partlow,5.0 out of 5 stars, ,0.00,2019
The Great Alone: A Novel,Kristin Hannah,4.6 out of 5 stars, ,14.99,2018
The Extraordinary Life of Sam Hell: A Novel,Robert Dugoni,4.7 out of 5 stars, ,11.99,2018
Shattered Star,Tiffany Forbes,5.0 out of 5 stars, ,0.00,2019
American Science Fiction: Eight Classic Novels of the 1960s 2C BOX SET,,, ,75.00,2019
Prototype D (Prototype D Series Book 1),Jason D. Morrow,4.3 out of 5 stars, ,0.00,2015
True Fiction (Ian Ludlow Thrillers Book 1),Lee Goldberg,4.4 out of 5 stars, ,0.00,2018
Etched in Shadow Hill Cemetery,Jocelyn A Dorgan,4.7 out of 5 stars, ,0.00,2016
The Haunting of Abram Mansion: A Riveting Haunted House Mystery,Alexandria Clarke,4.4 out of 5 stars, ,0.00,2019
I Love You, But I Don't Mean To,,4.4 out of 5 stars, ,0.00,2018
Thicker than Blood (Thicker than Blood series Book 1),C. J. Darlington,4.5 out of 5 stars, ,0.00,2013
The Fortress: A Historical Fiction Novel Based On A WW2 True Story,Jonathan Hillinger,4.7 out of 5 stars, ,0.00,2019
The Point of Light (Historical Fiction Book 1),John Ellsworth,4.4 out of 5 stars, ,0.00,2019
The Enceladus Mission: Hard Science Fiction (Ice Moon),Brandon Q. Morris,4.1 out of 5 stars, ,11.51,2018
All the Light We Cannot See: A Novel,Anthony Doerr,4.6 out of 5 stars, ,12.99,2014
Nine Perfect Strangers,Liane Moriarty,3.4 out of 5 stars, ,14.99,2018
The Tuscan Child,Rhys Bowen,4.3 out of 5 stars, ,0.00,2018
Addiction,Margaret McHeyzer,4.7 out of 5 stars, ,4.99,2018
More Than One Truth,,4.7 out of 5 stars, ,2.99,2018
Five Fathoms Beneath,J.R. Alcyone,5.0 out of 5 stars, ,0.00,2018
The Letter: A captivating story of forbidden love, secrets, and sacrifice.,Ruth Saberton,4.7 out of 5 stars, ,0.00,2017
All the Light We Cannot See: A Novel,Anthony Doerr,4.6 out of 5 stars, ,12.99,2014
Nine Perfect Strangers,Liane Moriarty,3.4 out of 5 stars, ,14.99,2018
Dark Paths: Liberation War Book 4,John Walker,, ,0.00,2019
Pachinko (National Book Award Finalist),Min Jin Lee,4.5 out of 5 stars, ,9.99,2017
The Art of Fiction: Notes on Craft for Young Writers,John Gardner,4.2 out of 5 stars, ,13.11,1991
The Reluctant Bid: Distinguished Gentlemen Series,Sheryl Lister,5.0 out of 5 stars, ,0.00,2019
The Forgiving Jar (Free Preview) (The Prayer Jars Book 2),Wanda E. Brunstetter,4.1 out of 5 stars, ,0.00,2018
Uncommon Loyalty: DT7 - Book 2 (Dragon Team Seven),Toby Neighbors,4.7 out of 5 stars, ,0.00,2019
Etched in Shadow Hill Cemetery,Jocelyn A Dorgan,4.7 out of 5 stars, ,0.00,2016
The Haunting of Abram Mansion: A Riveting Haunted House Mystery,Alexandria Clarke,4.4 out of 5 stars, ,0.00,2019
BattleTech: A Clever Bit of Fiction: Kell Hounds Ascendant 3 (Kell Hounds Trilogy),Michael A. Stackpole,5.0 out of 5 stars, ,3.99,2019
Ready Player One,Ernest Cline,4.6 out of 5 stars, ,9.99,2011
The Kimberley Secret: A Jack Rogan Mysteries Prequel,Gabriel Farago,4.4 out of 5 stars, ,0.00,2018
How to Write Science Fiction & Fantasy,Orson Scott Card,4.2 out of 5 stars, ,11.97,2001
The Ragged Edge of Night,Olivia Hawker,4.5 out of 5 stars, ,0.00,2018
Essays and Fictions,,4.2 out of 5 stars, ,15.26,2019
Rogue Mate: A Science Fiction Alien Romance (Rogue Star Book 1),Elin Wyn,4.3 out of 5 stars, ,0.00,2019
The Displaced: Fall of a Fortress — One of the Best Historical Fiction Books of 2018: Volume 1 of 3,Frieda Watt,4.5 out of 5 stars, ,0.00,2018
Addiction,Margaret McHeyzer,4.7 out of 5 stars, ,4.99,2018
More Than One Truth,,4.7 out of 5 stars, ,2.99,2018
Addiction,Margaret McHeyzer,4.7 out of 5 stars, ,4.99,2018
Five Fathoms Beneath,J.R. Alcyone,5.0 out of 5 stars, ,0.00,2018
Moving On: A Contemporary Christian Romance (Ghost Of The Past Book 1),Trisha Grace,4.1 out of 5 stars, ,0.00,2012
It All Comes Back to You: A Book Club Recommendation!,Beth Duke,4.8 out of 5 stars, ,12.98,2018
Something in the Water: A Novel,Catherine Steadman,3.8 out of 5 stars, ,12.99,2018
Qualify (The Atlantis Grail Book 1),Vera Nazarian,4.5 out of 5 stars, ,0.00,2014
The Complete Fiction of H. P. Lovecraft (Chartwell Classics),,4.7 out of 5 stars, ,12.61,2016
The Things We Leave Behind,Tanya Anne Crosby,3.7 out of 5 stars, ,0.00,2016
Posed To Be In Love,Kee Nicole,5.0 out of 5 stars, ,0.00,2019
City of Shadows (Saint Tommy, NYPD Book 4),Declan Finn,, ,0.00,2019
The Letter: A captivating story of forbidden love, secrets, and sacrifice.,Ruth Saberton,4.7 out of 5 stars, ,0.00,2017
The Haunting of Abram Mansion: A Riveting Haunted House Mystery,Alexandria Clarke,4.4 out of 5 stars, ,0.00,2019
Fell For The Plug Next Door,Candi B,4.8 out of 5 stars, ,0.00,2019
The Final Homestead: EMP Survival in a Powerless World,James Hunt,4.3 out of 5 stars, ,0.00,2019
The Secret Orphan: A gripping historical novel,Glynis Peters,4.4 out of 5 stars, ,0.99,2018
An Orphan’s War: One of the best historical fiction books you will read this year,Molly Green,4.4 out of 5 stars, ,0.99,2018
The Story Of Us: A Secret Baby Romance (Serenity House Book 1),Molly O'Keefe,4.4 out of 5 stars, ,3.80,2018
The Viking (The Viking Series Book 1),Marti Talbott,4.2 out of 5 stars, ,0.00,2010
Twice Shy (The Power of Love Book 1),Mona Ingram,4.5 out of 5 stars, ,0.00,2019
Good Girl (Quick & Steamy Collection),Olivia M. Hamilton,3.4 out of 5 stars, ,0.99,2013
Etched in Shadow Hill Cemetery,Jocelyn A Dorgan,4.7 out of 5 stars, ,0.00,2016
More Than One Truth,,4.7 out of 5 stars, ,2.99,2018
Addiction,Margaret McHeyzer,4.7 out of 5 stars, ,4.99,2018
Five Fathoms Beneath,J.R. Alcyone,5.0 out of 5 stars, ,0.00,2018
Good Girl (Quick & Steamy Collection),Olivia M. Hamilton,3.4 out of 5 stars, ,0.99,2013
CIRCE,Madeline Miller,4.7 out of 5 stars, ,13.99,2018
Pandemic (The Extinction Files Book 1),A.G. Riddle,4.2 out of 5 stars, ,0.00,2017
A Love So Cold Volume 1: Nyrae and Symeer,E. Shanie,4.1 out of 5 stars, ,0.00,2018
Girls on the Line: A Novel,Aimie K. Runyan,4.7 out of 5 stars, ,0.00,2018
Still Life With Murder (Nell Sweeney Mystery Series Book 1),P.B. Ryan,4.4 out of 5 stars, ,0.00,2010
Winter World (The Long Winter Book 1),A.G. Riddle,4.7 out of 5 stars, ,0.00,2019
Dark Ages (Historical Fiction Action Adventure, set in Dark Age post Roman Britain): The Dominic Trilogy,,4.7 out of 5 stars, ,0.00,2017
The Letter: A captivating story of forbidden love, secrets, and sacrifice.,Ruth Saberton,4.7 out of 5 stars, ,0.00,2017
The Haunting of Abram Mansion: A Riveting Haunted House Mystery,Alexandria Clarke,4.4 out of 5 stars, ,0.00,2019
Infatuated With A Goon,K'Vonne,4.1 out of 5 stars, ,0.00,2018
China Rich Girlfriend: A Novel (Crazy Rich Asians Trilogy Book 2),Kevin Kwan,4.3 out of 5 stars, ,11.99,2015
The Year's Best Science Fiction: Thirty-Fifth Annual Collection,,4.3 out of 5 stars, ,11.99,2018
TEXAS ROADS (A Miller's Creek Novel Book 1),Cathy Bryant,4.7 out of 5 stars, ,0.00,2010
The Viking (The Viking Series Book 1),Marti Talbott,4.2 out of 5 stars, ,0.00,2010
Pretty Broken Girl: An Unconventional Love Story,Jeana E. Mann,4.5 out of 5 stars, ,0.00,2015
The Victory Garden: A Novel,Rhys Bowen,4.5 out of 5 stars, ,0.00,2019
Loving The Wrong Man,Mia Black,4.6 out of 5 stars, ,0.00,2016
Etched in Shadow Hill Cemetery,Jocelyn A Dorgan,4.7 out of 5 stars, ,0.00,2016
More Than One Truth,,4.7 out of 5 stars, ,2.99,2018
Addiction,Margaret McHeyzer,4.7 out of 5 stars, ,4.99,2018
Five Fathoms Beneath,J.R. Alcyone,5.0 out of 5 stars, ,0.00,2018
The Desolation: A World on Fire Book 1,C.R. Watson,4.7 out of 5 stars, ,0.00,2016
Ride With Me (A Quaking Heart Novel Book 1),Janith Hooper,4.4 out of 5 stars, ,0.00,2013
The Sometimes Sisters,Carolyn Brown,4.5 out of 5 stars, ,0.00,2018
Winter World (The Long Winter Book 1),A.G. Riddle,4.7 out of 5 stars, ,0.00,2019
Collected Fictions,Jorge Luis Borges,4.5 out of 5 stars, ,15.63,1999
The Flying Sisters and the Lost Baby Penguins,C. Hamilton Collier,, ,0.00,2019
Starstruck,Brenda Hiatt,4.3 out of 5 stars, ,0.00,2013
The Victory Garden: A Novel,Rhys Bowen,4.5 out of 5 stars, ,0.00,2019
The Letter: A captivating story of forbidden love, secrets, and sacrifice.,Ruth Saberton,4.7 out of 5 stars, ,0.00,2017
The Haunting of Abram Mansion: A Riveting Haunted House Mystery,Alexandria Clarke,4.4 out of 5 stars, ,0.00,2019
Duck for Cover (Nuclear Survival: Northern Exposure Book 2),Harley Tate,5.0 out of 5 stars, ,0.00,2019
Moving Violations,McGee Mathews,4.8 out of 5 stars, ,0.00,2019
Walking the Clouds: An Anthology of Indigenous Science Fiction (Sun Tracks),,4.4 out of 5 stars, ,24.16,2012
New Beginnings (Aspen Falls Book 1),Ellen Anderson,3.7 out of 5 stars, ,0.00,2018
The Spirit of Science Fiction: A Novel,Roberto Bolaño,4.5 out of 5 stars, ,15.91,2019
Soul Jacker: A Science Fiction Thriller (Soul Jacker Book 1),Michael John Grist,4.7 out of 5 stars, ,0.00,2019
29 (Twenty-Nine) (Twenty Nine Book 1),Nancy Pennick,4.5 out of 5 stars, ,0.00,2019
Caretaker (Book 2),Emrys Apollo,, ,0.00,2019
Etched in Shadow Hill Cemetery,Jocelyn A Dorgan,4.7 out of 5 stars, ,0.00,2016
More Than One Truth,,4.7 out of 5 stars, ,2.99,2018
Addiction,Margaret McHeyzer,4.7 out of 5 stars, ,4.99,2018
Five Fathoms Beneath,J.R. Alcyone,5.0 out of 5 stars, ,0.00,2018
Finessed By A Inmate Love: Kai And Xavier,,5.0 out of 5 stars, ,0.00,2019
Thick as Thieves: A Lesbian Romance Heist,Cara Malone,4.8 out of 5 stars, ,0.00,2019
True Fiction (Ian Ludlow Thrillers Book 1),Lee Goldberg,4.4 out of 5 stars, ,0.00,2018
Strange Days (Bill of the Dead Book 1),Rick Gualtieri,4.9 out of 5 stars, ,0.00,2019
The Blueprint (The Upgrade Book 1),Wesley Cross,4.1 out of 5 stars, ,0.00,2016
The Sleeping Girls: A Riveting Mystery,James Hunt,4.4 out of 5 stars, ,0.00,2019
Trafficked!: A Natalie McMasters Mystery (The Natalie McMasters Mysteries Book 3),Thomas A. Burns,4.4 out of 5 stars, ,0.00,2019
Touch (Omega Angel Café Book 2),Hawke Oakley,4.8 out of 5 stars, ,0.00,2019
The Letter: A captivating story of forbidden love, secrets, and sacrifice.,Ruth Saberton,4.7 out of 5 stars, ,0.00,2017
The Haunting of Abram Mansion: A Riveting Haunted House Mystery,Alexandria Clarke,4.4 out of 5 stars, ,0.00,2019
The Defiant Governess of Rosenhill Manor: A Historical Regency Romance Novel,Hanna Hamilton,4.8 out of 5 stars, ,0.00,2019
Breckinridge Valley: Surviving the Black--Book 1 of a Post-Apocalyptical series,Zack Finley,4.4 out of 5 stars, ,0.00,2019
We Could Be Heroes: A Superhero Adventure,Harmon Cooper,4.6 out of 5 stars, ,0.00,2019
Soul Jacker: A Science Fiction Thriller (Soul Jacker Book 1),Michael John Grist,4.7 out of 5 stars, ,0.00,2019
Between 2 Fires,,, ,0.00,2019
CIRCE,Madeline Miller,4.7 out of 5 stars, ,13.99,2018
Python Programming Language: Complete Guide for Beginners, Intermediates and Advanced:  7 Days Crash Course,,5.0 out of 5 stars, ,0.00,2019
Lies and F*ckery 2,King Benjamin,5.0 out of 5 stars, ,0.00,2019
Etched in Shadow Hill Cemetery,Jocelyn A Dorgan,4.7 out of 5 stars, ,0.00,2016
More Than One Truth,,4.7 out of 5 stars, ,2.99,2018
Addiction,Margaret McHeyzer,4.7 out of 5 stars, ,4.99,2018
Five Fathoms Beneath,J.R. Alcyone,5.0 out of 5 stars, ,0.00,2018
